"row"	"friends"	"getgoods"
"264"	103.5	35.3
"265"	96.5	35.3
"266"	99	35.3
"267"	106.5	35.3
"268"	121	42.5
"269"	143.5	42.5
"270"	195.5	53.6
"271"	221	53.6
"272"	221	53.6
"273"	195.5	53.6
"274"	218	53.6
"275"	203.5	55.3
"276"	213	55.3
"277"	239	55.3
"278"	243	55.3
"279"	207	55.3
"280"	205	55.71
"281"	234.5	55.71
"282"	262	55.71
"283"	260.5	55.71
"284"	294	59.9
"285"	365	60
"286"	365	61.1
"287"	454	61.5
"288"	365.5	59.5
"289"	365.5	59.5
"290"	365.5	59.5
"291"	255.5	58.9
"292"	255.5	58.9
"293"	255.5	58.9
"294"	275	56.3
"295"	275	56.3
"296"	298	56.3
"297"	298	56.3
"298"	316	56.3
"299"	391	60
"300"	391	60
"301"	391	60
"302"	274.5	56.7
"303"	274.5	56.7
"304"	274.5	56.7
"305"	201	52.8
"306"	168.5	52.8
"307"	154.5	52.8
"308"	159	52.8
"309"	165.5	45.6
"310"	155	45.6
"311"	125.5	45.6
"312"	132	45.6
"313"	141.5	45.6
"314"	163	45.6
"315"	180	45.6
"316"	197	45.6
"317"	199.5	45.6
"318"	201.5	45.6
"319"	176.5	45.6
"320"	200	45.6
"321"	227	50.7
"322"	227	50.7
"323"	236	50.7
"324"	236	50.7
"325"	236	50.7
"326"	270.5	50.7
"327"	270.5	50.7
"328"	270.5	50.7
"329"	260.5	54
"330"	260.5	54
"331"	293.5	54
"332"	332	56.21
"333"	332	56.21
"334"	322.5	48.5
"335"	322.5	48.5
"336"	299	48.5
"337"	261.5	48.5
"338"	280.5	48.5
"339"	240.5	48.5
"340"	240.5	48.5
"341"	240.5	48.5
"342"	351.5	55.8
"343"	313	48.2
"344"	286.5	51.6
"345"	323	51.6
"346"	400.5	55.8
"347"	400.5	55.8
"348"	426.5	57.1
"349"	417	56.5
"350"	439.5	57.1
"351"	439.5	57.1
"352"	535.5	58.9
"353"	535.5	58.9
"354"	606	59
"355"	529	58.7
"356"	529	58.7
"357"	106	23
"358"	125	23
"359"	136	23
"360"	125	23
"361"	125.5	23
"362"	114.5	23
"363"	105	23
"364"	95	23
"365"	95	28.2
"366"	80.5	28.2
"367"	87.5	28.2
"368"	75.5	36.9
"369"	66.5	36.9
"370"	67.5	36.9
"371"	60	36.9
"372"	58	36.9
"373"	56	33.2
"374"	58.5	33.2
"375"	56.5	33.2
"376"	65.5	32.9
"377"	67	32.9
"378"	67.5	32.9
"379"	69	32.9
"380"	69	32.9
"381"	70.5	32.9
"382"	75.5	32.9
"383"	79	30
"384"	76.5	30
"385"	71.5	30
"386"	71	30
"387"	73	30
"388"	75.5	30
"389"	79	30
"390"	86	30
"391"	96	30
"392"	108	30
"393"	88.5	30
"394"	89.5	30.7
"395"	89	30.7
"396"	86	30.7
"397"	83.5	30.7
"398"	81.5	30.7
"399"	74	30.7
"400"	75	30.7
"401"	79	30.7
"402"	78.5	30.7
"403"	81.5	30.7
"404"	85	30.7
"405"	80	30.7
"406"	71	30.7
"407"	58.5	34.1
"408"	64	34.1
"409"	72.5	40.3
"410"	73	40.3
"411"	70.5	40.3
"412"	76	40.3
"413"	77.5	40.3
"414"	79	40.3
"415"	82.5	30.7
"416"	91.5	32.1
"417"	90.5	32.1
"418"	82	32.1
"419"	90	32.1
"420"	89.5	28.2
"421"	92.5	28.2
"422"	93.5	28.2
"423"	97.5	38.6
"424"	101	38.6
"425"	103	41.6
"426"	95	32.1
"427"	99.5	41.6
"428"	93	32.1
"429"	96.5	32.1
"430"	98	32.1
"431"	102.5	41.6
"432"	104	41.6
"433"	110	41.6
"434"	115.5	28.7
"435"	111	28.7
"436"	106	26
"437"	100	26
"438"	95.5	26
"439"	91	26
"440"	90.5	26
"441"	93	26
"442"	103	26
"443"	100	26
"444"	98.5	26
"445"	94.5	26
"446"	99	26
"447"	103.5	26
"448"	109.5	26
"449"	113	28.7
"450"	109	28.7
"451"	116	28.7
"452"	117.5	28.7
"453"	118	28.7
"454"	122.5	28.7
"455"	124.5	28.7
"456"	121.5	28.7
"457"	129	28.7
"458"	138.5	28.7
"459"	139	28.7
"460"	135.5	28.7
"461"	129.5	28.7
"462"	128	28.7
"463"	136.5	28.7
"464"	140	28.7
"465"	148	34.5
"466"	153	34.5
"467"	143.5	34.5
"468"	127	41.6
"469"	145	42
"470"	141	42
"471"	151.5	42
"472"	154.5	46.8
"473"	144.5	42
"474"	126.5	38.6
"475"	121	41.6
"476"	110	41.6
"477"	115	38.6
"478"	105	38.6
"479"	108.5	38.6
"480"	97.5	38.6
"481"	171	46.8
"482"	166.5	46.8
"483"	170.5	46.8
"484"	204.5	46.8
"485"	186	41.7
"486"	199.5	41.7
"487"	177	41.7
"488"	157.5	41.7
"489"	91	39.1
"490"	87.5	39.1
"491"	91	39.1
"492"	93	39.1
"493"	105	39.1
"494"	119	41.5
"495"	119	41.5
"496"	139.5	41.5
"497"	139.5	41.5
"498"	144.5	41.5
"499"	120	41.5
"500"	119.5	41.5
"501"	124.5	41.5
"502"	123.5	42.7
"503"	114	42.7
"504"	108	42.7
"505"	119	42.7
"506"	125	42.7
